Channel_Name,Output,Type,Channel_Label,Type,Group
Kitchen Pressure 2.1 m Below Ceiling,Kitchen,Pressure,2.1 m Below Ceiling,Pressure,Kitchen_Pressure
Kitchen Pressure 1.2 m Below Ceiling,Kitchen,Pressure,1.2 m Below Ceiling,Pressure,Kitchen_Pressure
Kitchen Pressure 0.3 m Below Ceiling,Kitchen,Pressure,0.3 m Below Ceiling,Pressure,Kitchen_Pressure
Living Room Temperature 0.02 m Below Ceiling,Living Room,Temperature,0.02 m Below Ceiling,Temperature,Living_Room_Temperature
Living Room Temperature 0.3 m Below Ceiling,Living Room,Temperature,0.3 m Below Ceiling,Temperature,Living_Room_Temperature
Living Room Temperature 0.6 m Below Ceiling,Living Room,Temperature,0.6 m Below Ceiling,Temperature,Living_Room_Temperature
Living Room Temperature 0.9 m Below Ceiling,Living Room,Temperature,0.9 m Below Ceiling,Temperature,Living_Room_Temperature
Living Room Temperature 1.2 m Below Ceiling,Living Room,Temperature,1.2 m Below Ceiling,Temperature,Living_Room_Temperature
Living Room Temperature 1.5 m Below Ceiling,Living Room,Temperature,1.5 m Below Ceiling,Temperature,Living_Room_Temperature
Living Room Temperature 1.8 m Below Ceiling,Living Room,Temperature,1.8 m Below Ceiling,Temperature,Living_Room_Temperature
Living Room Temperature 2.1 m Below Ceiling,Living Room,Temperature,2.1 m Below Ceiling,Temperature,Living_Room_Temperature
Under Hall Temperature 0.02 m Below Ceiling,Under Hall,Temperature,0.02 m Below Ceiling,Temperature,Under_Hall_Temperature
Under Hall Temperature 0.3 m Below Ceiling,Under Hall,Temperature,0.3 m Below Ceiling,Temperature,Under_Hall_Temperature
Under Hall Temperature 0.6 m Below Ceiling,Under Hall,Temperature,0.6 m Below Ceiling,Temperature,Under_Hall_Temperature
Under Hall Temperature 0.9 m Below Ceiling,Under Hall,Temperature,0.9 m Below Ceiling,Temperature,Under_Hall_Temperature
Under Hall Temperature 1.2 m Below Ceiling,Under Hall,Temperature,1.2 m Below Ceiling,Temperature,Under_Hall_Temperature
Under Hall Temperature 1.5 m Below Ceiling,Under Hall,Temperature,1.5 m Below Ceiling,Temperature,Under_Hall_Temperature
Under Hall Temperature 1.8 m Below Ceiling,Under Hall,Temperature,1.8 m Below Ceiling,Temperature,Under_Hall_Temperature
Under Hall Temperature 2.1 m Below Ceiling,Under Hall,Temperature,2.1 m Below Ceiling,Temperature,Under_Hall_Temperature
Foyer Temperature 0.02 m Below Ceiling,Foyer,Temperature,0.02 m Below Ceiling,Temperature,Foyer_Temperature
Foyer Temperature 0.3 m Below Ceiling,Foyer,Temperature,0.3 m Below Ceiling,Temperature,Foyer_Temperature
Foyer Temperature 0.6 m Below Ceiling,Foyer,Temperature,0.6 m Below Ceiling,Temperature,Foyer_Temperature
Foyer Temperature 0.9 m Below Ceiling,Foyer,Temperature,0.9 m Below Ceiling,Temperature,Foyer_Temperature
Foyer Temperature 1.2 m Below Ceiling,Foyer,Temperature,1.2 m Below Ceiling,Temperature,Foyer_Temperature
Foyer Temperature 1.5 m Below Ceiling,Foyer,Temperature,1.5 m Below Ceiling,Temperature,Foyer_Temperature
Foyer Temperature 1.8 m Below Ceiling,Foyer,Temperature,1.8 m Below Ceiling,Temperature,Foyer_Temperature
Foyer Temperature 2.1 m Below Ceiling,Foyer,Temperature,2.1 m Below Ceiling,Temperature,Foyer_Temperature
Foyer Temperature 2.4 m Below Ceiling,Foyer,Temperature,2.4 m Below Ceiling,Temperature,Foyer_Temperature
Foyer Temperature 2.7 m Below Ceiling,Foyer,Temperature,2.7 m Below Ceiling,Temperature,Foyer_Temperature
Foyer Temperature 3.0 m Below Ceiling,Foyer,Temperature,3.0 m Below Ceiling,Temperature,Foyer_Temperature
Foyer Temperature 3.3 m Below Ceiling,Foyer,Temperature,3.3 m Below Ceiling,Temperature,Foyer_Temperature
